RainDay,0/1,Rain day (0.2 mm or more rainfall amount 0900-0900 UTC),Commences 1 Jan 1908: some gaps 1914-17 completed from nearby stations
WetDay,0/1,Wet day (1.0 mm or more rainfall amount 0900-0900 UTC),Commences 1 Jan 1908: some gaps 1914-17 completed from nearby stations
SunHrCS,h,"Daily sunshine duration, from Campbell-Stokes sunshine recorder",Commences 1 April 1956
"SunCS cumul from 1 Jan, h",h,Accumulated sunshine duration since 1 January to that date,As Sunshine
SunHrKZ,h,"Daily sunshine duration, from Kipp & Zonen electronic sunshine recorder",Commences 1 Jan 2009; some gaps 2014-17 owing to instrument malfunction
SunHr MOKZ,h,"Daily sunshine duration, from Kipp & Zonen Met Office MMS electronic sunshine recorder ",Commences Aug 2012
Campbell-Stokes sun not used,0/1,"Campbell-Stokes record unreliable midwinter months 2020-24, Kipp & Zonen record used",
CS Sun missing,0/1,Daily sunshine duration from Campbell-Stokes sunshine recorder MISSING,As CS sunshine
KZ Sun missing,0/1,"Daily sunshine duration, from Kipp & Zonen electronic sunshine recorder MISSING",As KZ sunshine
SunNil-CS,0/1,Nil daily sunshine duration from Campbell-Stokes sunshine recorder,As CS sunshine
SunNil-KZ,0/1,Nil daily sunshine duration from Kipp & Zonen electronic sunshine recorder,As KZ sunshine
Sun12h,0/1,Daily sunshine duration from Campbell-Stokes instrument 12.0 h or greater,As CS sunshine
GSR-MJm2,MJ/m2,Daily global solar radiation 00-24h,Commences 30 Jan 1973
GSR missing 0/1,0/1,Daily global solar radiation 00-24h MISSING,As GSR
N10-09h,tenths,"Cloud cover at 0900 UTC, in tenths","Commences 1 Jan 1908, some gaps, ends 31 Dec 1958"
N8-09h,oktas,"Cloud cover at 0900 UTC, in oktas (eighths) ",Commences 1 Jan 1959 **NOTE** 9 indicates 'sky obscured' - OMIT - do not include in averages etc!
SkyObsc 0/1,0/1,"Sky obscured at 0900 UTC, due to fog, blowing snow etc (indicated by N8-09h = 9)",As N10 or N8
N8 09h composite % (no obsc),%,Cloud cover at 0900 UTC as percentage (calculated from N10-09h or N8-09h data),"Commences 1 Jan 1908, some gaps"
dd 09h deg,deg,"Wind direction at 0900 UTC, in tens of degrees veer from north (09 = 090 deg = easterly)",Commences 1 Jan 1908: some gaps 1914-17 owing to missing registers
ff 09h m/s,m/s,Wind speed at 0900 UTC,Conversion from knots
Max Gust 00-24h m/s,m/s,Max gust wind speed 00-24 UTC,Conversion from knots
Vis09h code,code,Visibility code (1-9) at 0900 UTC observation,Commences 1 June 1960
Vis09h km,km,"Visibility at 0900 UTC observation, converted from code figure",Commences 1 June 1960
ww code 09h,,Present weather at 0900 UTC (WMO ww code),"Commences 1 Jan 1908, some gaps: early records may be conversions from Beaufort letters"
